Titanic,195,Drama,50,Leonardo DiCaprio
Star Wars: Episode IV - A New Hope,121,Accion,50,Mark Hamill
The Shawshank Redemption,142,Drama,50,Tim Robbins
The Godfather,175,Drama,50,Marlon Brando
Jurassic Park,127,Accion,50,Sam Neill
The Dark Knight,152,Accion,50,Christian Bale
The Matrix,136,Accion,50,Keanu Reeves
Forrest Gump,142,Drama,50,Tom Hanks
Pulp Fiction,154,Drama,50,John Travolta
The Silence of the Lambs,118,Terror,50,Anthony Hopkins
Die Hard,131,Accion,50,Bruce Willis
Home Alone,103,Comedia,50,Macaulay Culkin
Gladiator,155,Accion,50,Russell Crowe
The Shining,144,Terror,50,Jack Nicholson
The Lord of the Rings: The Fellowship of the Ring,178,Accion,50,Elijah Wood
The Green Mile,189,Drama,50,Tom Hanks
The Avengers,143,Accion,50,Robert Downey Jr.
Ghostbusters,107,Comedia,50,Bill Murray
The Exorcist,122,Terror,50,Linda Blair
The Godfather: Part II,202,Drama,50,Al Pacino
The Terminator,107,Accion,50,Arnold Schwarzenegger
Jaws,124,Terror,50,Roy Scheider
The Notebook,123,Romance,50,Ryan Gosling
Dirty Harry,102,Accion,50,Clint Eastwood
The Hangover,100,Comedia,50,Zach Galifianakis
Interstellar,169,Drama,50,Matthew McConaughey
The Conjuring,112,Terror,50,Vera Farmiga
Casablanca,102,Drama,50,Humphrey Bogart
The Princess Bride,98,Comedia,50,Cary Elwes
Inception,148,Drama,50,Leonardo DiCaprio
The Sixth Sense,107,Terror,50,Bruce Willis
Deadpool,108,Accion,50,Ryan Reynolds
The Great Gatsby,143,Drama,50,Leonardo DiCaprio
Step Brothers,98,Comedia,50,Will Ferrell
Alien,116,Terror,50,Sigourney Weaver
Black Swan,108,Drama,50,Natalie Portman
The Revenant,156,Drama,50,Leonardo DiCaprio
Guardians of the Galaxy,121,Accion,50,Chris Pratt
The Witch,92,Terror,50,Anya Taylor-Joy
Eternal Sunshine of the Spotless Mind,108,Romance,50,Jim Carrey
The Social Network,120,Drama,50,Jesse Eisenberg
Superbad,113,Comedia,50,Jonah Hill
